# name	type	description
@react-bits/ShapeBlur-JS-CSS	component	Morphing blurred geometric shape. The effect occurs on hover.
@react-bits/ShapeBlur-JS-TW	component	Morphing blurred geometric shape. The effect occurs on hover.
@react-bits/ShapeBlur-TS-CSS	component	Morphing blurred geometric shape. The effect occurs on hover.
@react-bits/ShapeBlur-TS-TW	component	Morphing blurred geometric shape. The effect occurs on hover.
@react-bits/ShapeGrid-JS-CSS	component	Animated grid with shape variants (square, hexagon, circle, triangle) + direction customization.
@react-bits/ShapeGrid-JS-TW	component	Animated grid with shape variants (square, hexagon, circle, triangle) + direction customization.
@react-bits/ShapeGrid-TS-CSS	component	Animated grid with shape variants (square, hexagon, circle, triangle) + direction customization.
@react-bits/ShapeGrid-TS-TW	component	Animated grid with shape variants (square, hexagon, circle, triangle) + direction customization.
@react-bits/ShinyText-JS-CSS	component	Metallic sheen sweeps across text producing a reflective highlight.
@react-bits/ShinyText-JS-TW	component	Metallic sheen sweeps across text producing a reflective highlight.
@react-bits/ShinyText-TS-CSS	component	Metallic sheen sweeps across text producing a reflective highlight.
@react-bits/ShinyText-TS-TW	component	Metallic sheen sweeps across text producing a reflective highlight.
@react-bits/Shuffle-JS-CSS	component	Animated text reveal where characters shuffle before settling.
@react-bits/Shuffle-JS-TW	component	Animated text reveal where characters shuffle before settling.
@react-bits/Shuffle-TS-CSS	component	Animated text reveal where characters shuffle before settling.
@react-bits/Shuffle-TS-TW	component	Animated text reveal where characters shuffle before settling.
@react-bits/SideRays-JS-CSS	component	Animated light rays emanating from the side with customizable colors and speed.
@react-bits/SideRays-JS-TW	component	Animated light rays emanating from the side with customizable colors and speed.
@react-bits/SideRays-TS-CSS	component	Animated light rays emanating from the side with customizable colors and speed.
@react-bits/SideRays-TS-TW	component	Animated light rays emanating from the side with customizable colors and speed.
@react-bits/Silk-JS-CSS	component	Smooth waves background with soft lighting.
@react-bits/Silk-JS-TW	component	Smooth waves background with soft lighting.
@react-bits/Silk-TS-CSS	component	Smooth waves background with soft lighting.
@react-bits/Silk-TS-TW	component	Smooth waves background with soft lighting.
@react-bits/SlicedWaves-JS-CSS	component	A grid of soft glowing bars rippling like a slatted equalizer.
@react-bits/SlicedWaves-JS-TW	component	A grid of soft glowing bars rippling like a slatted equalizer.
@react-bits/SlicedWaves-TS-CSS	component	A grid of soft glowing bars rippling like a slatted equalizer.
@react-bits/SlicedWaves-TS-TW	component	A grid of soft glowing bars rippling like a slatted equalizer.
@react-bits/SoftAurora-JS-CSS	component	Soft aurora borealis shader with 3D Perlin noise and cosine gradient palettes.
@react-bits/SoftAurora-JS-TW	component	Soft aurora borealis shader with 3D Perlin noise and cosine gradient palettes.
@react-bits/SoftAurora-TS-CSS	component	Soft aurora borealis shader with 3D Perlin noise and cosine gradient palettes.
@react-bits/SoftAurora-TS-TW	component	Soft aurora borealis shader with 3D Perlin noise and cosine gradient palettes.
@react-bits/SpecularButton-JS-CSS	component	Glass button with a shader-driven specular rim light that sweeps around the edge and follows the cursor.
@react-bits/SpecularButton-JS-TW	component	Glass button with a shader-driven specular rim light that sweeps around the edge and follows the cursor.
@react-bits/SpecularButton-TS-CSS	component	Glass button with a shader-driven specular rim light that sweeps around the edge and follows the cursor.
@react-bits/SpecularButton-TS-TW	component	Glass button with a shader-driven specular rim light that sweeps around the edge and follows the cursor.
@react-bits/SplashCursor-JS-CSS	component	Liquid splash burst at cursor with curling ripples and waves.
@react-bits/SplashCursor-JS-TW	component	Liquid splash burst at cursor with curling ripples and waves.
@react-bits/SplashCursor-TS-CSS	component	Liquid splash burst at cursor with curling ripples and waves.
@react-bits/SplashCursor-TS-TW	component	Liquid splash burst at cursor with curling ripples and waves.
@react-bits/SplitFlapText-JS-CSS	component	Mechanical split-flap departure board that clacks through to each new phrase.
@react-bits/SplitFlapText-JS-TW	component	Mechanical split-flap departure board that clacks through to each new phrase.
@react-bits/SplitFlapText-TS-CSS	component	Mechanical split-flap departure board that clacks through to each new phrase.
@react-bits/SplitFlapText-TS-TW	component	Mechanical split-flap departure board that clacks through to each new phrase.
@react-bits/SplitText-JS-CSS	component	Splits text into characters / words for staggered entrance animation.
@react-bits/SplitText-JS-TW	component	Splits text into characters / words for staggered entrance animation.
@react-bits/SplitText-TS-CSS	component	Splits text into characters / words for staggered entrance animation.
@react-bits/SplitText-TS-TW	component	Splits text into characters / words for staggered entrance animation.
@react-bits/SpotlightCard-JS-CSS	component	Dynamic spotlight follows cursor casting gradient illumination.
@react-bits/SpotlightCard-JS-TW	component	Dynamic spotlight follows cursor casting gradient illumination.
@react-bits/SpotlightCard-TS-CSS	component	Dynamic spotlight follows cursor casting gradient illumination.
@react-bits/SpotlightCard-TS-TW	component	Dynamic spotlight follows cursor casting gradient illumination.
@react-bits/Stack-JS-CSS	component	Layered stack with swipe animations, autoplay and smooth transitions.
@react-bits/Stack-JS-TW	component	Layered stack with swipe animations, autoplay and smooth transitions.
@react-bits/Stack-TS-CSS	component	Layered stack with swipe animations, autoplay and smooth transitions.
@react-bits/Stack-TS-TW	component	Layered stack with swipe animations, autoplay and smooth transitions.
@react-bits/StaggeredMenu-JS-CSS	component	Menu with staggered item animations and smooth transitions on open/close.
@react-bits/StaggeredMenu-JS-TW	component	Menu with staggered item animations and smooth transitions on open/close.
@react-bits/StaggeredMenu-TS-CSS	component	Menu with staggered item animations and smooth transitions on open/close.
@react-bits/StaggeredMenu-TS-TW	component	Menu with staggered item animations and smooth transitions on open/close.
@react-bits/StarBorder-JS-CSS	component	Animated star / sparkle border orbiting content with twinkle pulses.
@react-bits/StarBorder-JS-TW	component	Animated star / sparkle border orbiting content with twinkle pulses.
@react-bits/StarBorder-TS-CSS	component	Animated star / sparkle border orbiting content with twinkle pulses.
@react-bits/StarBorder-TS-TW	component	Animated star / sparkle border orbiting content with twinkle pulses.
@react-bits/Stepper-JS-CSS	component	Animated multi-step progress indicator with active state transitions.
@react-bits/Stepper-JS-TW	component	Animated multi-step progress indicator with active state transitions.
@react-bits/Stepper-TS-CSS	component	Animated multi-step progress indicator with active state transitions.
@react-bits/Stepper-TS-TW	component	Animated multi-step progress indicator with active state transitions.
@react-bits/StickerPeel-JS-CSS	component	Sticker corner lift + peel interaction using 3D transform and shadow depth.
@react-bits/StickerPeel-JS-TW	component	Sticker corner lift + peel interaction using 3D transform and shadow depth.
@react-bits/StickerPeel-TS-CSS	component	Sticker corner lift + peel interaction using 3D transform and shadow depth.
@react-bits/StickerPeel-TS-TW	component	Sticker corner lift + peel interaction using 3D transform and shadow depth.
@react-bits/Strands-JS-CSS	component	Glowing ribbon-like strands that ripple and weave across a transparent canvas.
@react-bits/Strands-JS-TW	component	Glowing ribbon-like strands that ripple and weave across a transparent canvas.
@react-bits/Strands-TS-CSS	component	Glowing ribbon-like strands that ripple and weave across a transparent canvas.
@react-bits/Strands-TS-TW	component	Glowing ribbon-like strands that ripple and weave across a transparent canvas.
@react-bits/StrokeText-JS-CSS	component	Outlined letterforms draw themselves on, then flood with fill.
@react-bits/StrokeText-JS-TW	component	Outlined letterforms draw themselves on, then flood with fill.
@react-bits/StrokeText-TS-CSS	component	Outlined letterforms draw themselves on, then flood with fill.
@react-bits/StrokeText-TS-TW	component	Outlined letterforms draw themselves on, then flood with fill.
@react-bits/SwarmCursor-JS-CSS	component	Flocking particle swarm that chases the pointer, jostles for space and drifts apart at rest.
@react-bits/SwarmCursor-JS-TW	component	Flocking particle swarm that chases the pointer, jostles for space and drifts apart at rest.
@react-bits/SwarmCursor-TS-CSS	component	Flocking particle swarm that chases the pointer, jostles for space and drifts apart at rest.
@react-bits/SwarmCursor-TS-TW	component	Flocking particle swarm that chases the pointer, jostles for space and drifts apart at rest.
@react-bits/TargetCursor-JS-CSS	component	A cursor follow animation with 4 corners that lock onto targets.
@react-bits/TargetCursor-JS-TW	component	A cursor follow animation with 4 corners that lock onto targets.
@react-bits/TargetCursor-TS-CSS	component	A cursor follow animation with 4 corners that lock onto targets.
@react-bits/TargetCursor-TS-TW	component	A cursor follow animation with 4 corners that lock onto targets.
@react-bits/TextCursor-JS-CSS	component	Make any text element follow your cursor, leaving a trail of copies behind it.
@react-bits/TextCursor-JS-TW	component	Make any text element follow your cursor, leaving a trail of copies behind it.
@react-bits/TextCursor-TS-CSS	component	Make any text element follow your cursor, leaving a trail of copies behind it.
@react-bits/TextCursor-TS-TW	component	Make any text element follow your cursor, leaving a trail of copies behind it.
@react-bits/TextLoop-JS-CSS	component	A seamless text marquee that flows along curved SVG paths.
@react-bits/TextLoop-JS-TW	component	A seamless text marquee that flows along curved SVG paths.
@react-bits/TextLoop-TS-CSS	component	A seamless text marquee that flows along curved SVG paths.
@react-bits/TextLoop-TS-TW	component	A seamless text marquee that flows along curved SVG paths.
@react-bits/TextPressure-JS-CSS	component	Characters scale / warp interactively based on pointer pressure zone.
@react-bits/TextPressure-JS-TW	component	Characters scale / warp interactively based on pointer pressure zone.
@react-bits/TextPressure-TS-CSS	component	Characters scale / warp interactively based on pointer pressure zone.
@react-bits/TextPressure-TS-TW	component	Characters scale / warp interactively based on pointer pressure zone.
@react-bits/TextType-JS-CSS	component	Typewriter effect with blinking cursor and adjustable typing cadence.
@react-bits/TextType-JS-TW	component	Typewriter effect with blinking cursor and adjustable typing cadence.
@react-bits/TextType-TS-CSS	component	Typewriter effect with blinking cursor and adjustable typing cadence.
@react-bits/TextType-TS-TW	component	Typewriter effect with blinking cursor and adjustable typing cadence.
@react-bits/Threads-JS-CSS	component	Animated pattern of lines forming a fabric-like motion.
@react-bits/Threads-JS-TW	component	Animated pattern of lines forming a fabric-like motion.
@react-bits/Threads-TS-CSS	component	Animated pattern of lines forming a fabric-like motion.
@react-bits/Threads-TS-TW	component	Animated pattern of lines forming a fabric-like motion.
@react-bits/TiltedCard-JS-CSS	component	3D perspective tilt card reacting to pointer.
@react-bits/TiltedCard-JS-TW	component	3D perspective tilt card reacting to pointer.
@react-bits/TiltedCard-TS-CSS	component	3D perspective tilt card reacting to pointer.
@react-bits/TiltedCard-TS-TW	component	3D perspective tilt card reacting to pointer.
@react-bits/Topography-JS-CSS	component	A living contour map with glowing, elevation-tinted lines.
@react-bits/Topography-JS-TW	component	A living contour map with glowing, elevation-tinted lines.
@react-bits/Topography-TS-CSS	component	A living contour map with glowing, elevation-tinted lines.
@react-bits/Topography-TS-TW	component	A living contour map with glowing, elevation-tinted lines.
@react-bits/TrueFocus-JS-CSS	component	Applies dynamic blur / clarity based over a series of words in order.
@react-bits/TrueFocus-JS-TW	component	Applies dynamic blur / clarity based over a series of words in order.
@react-bits/TrueFocus-TS-CSS	component	Applies dynamic blur / clarity based over a series of words in order.
@react-bits/TrueFocus-TS-TW	component	Applies dynamic blur / clarity based over a series of words in order.
@react-bits/VariableProximity-JS-CSS	component	Letter styling changes continuously with pointer distance mapping.
@react-bits/VariableProximity-JS-TW	component	Letter styling changes continuously with pointer distance mapping.
@react-bits/VariableProximity-TS-CSS	component	Letter styling changes continuously with pointer distance mapping.
@react-bits/VariableProximity-TS-TW	component	Letter styling changes continuously with pointer distance mapping.
@react-bits/WarpText-JS-CSS	component	WebGL warp that bends and refracts the text around the pointer.
@react-bits/WarpText-JS-TW	component	WebGL warp that bends and refracts the text around the pointer.
@react-bits/WarpText-TS-CSS	component	WebGL warp that bends and refracts the text around the pointer.
@react-bits/WarpText-TS-TW	component	WebGL warp that bends and refracts the text around the pointer.
@react-bits/Waves-JS-CSS	component	Layered lines that form smooth wave patterns with animation.
@react-bits/Waves-JS-TW	component	Layered lines that form smooth wave patterns with animation.
@react-bits/Waves-TS-CSS	component	Layered lines that form smooth wave patterns with animation.
@react-bits/Waves-TS-TW	component	Layered lines that form smooth wave patterns with animation.
@react-bits/WebThreads-JS-CSS	component	Glowing sine threads woven through a luminous convergence point.
@react-bits/WebThreads-JS-TW	component	Glowing sine threads woven through a luminous convergence point.
@react-bits/WebThreads-TS-CSS	component	Glowing sine threads woven through a luminous convergence point.
@react-bits/WebThreads-TS-TW	component	Glowing sine threads woven through a luminous convergence point.
@shadcn/accordion	ui	A vertically stacked set of interactive headings that each reveal a section of content.
@shadcn/accordion-demo	example	
@shadcn/alert	ui	Displays a callout for user attention.
@shadcn/alert-demo	example	
@shadcn/alert-destructive	example	
@shadcn/alert-dialog	ui	A modal dialog that interrupts the user with important content and expects a response.
@shadcn/alert-dialog-demo	example	
@shadcn/aspect-ratio	ui	Displays content within a desired ratio.
@shadcn/aspect-ratio-demo	example	
@shadcn/attachment	ui	
@shadcn/avatar	ui	An image element with a fallback for representing the user.
@shadcn/avatar-demo	example	
@shadcn/badge	ui	Displays a badge or a component that looks like a badge.
@shadcn/badge-demo	example	
@shadcn/badge-destructive	example	
@shadcn/badge-outline	example	
@shadcn/badge-secondary	example	
@shadcn/breadcrumb	ui	Displays the path to the current resource using a hierarchy of links.
@shadcn/breadcrumb-demo	example	
@shadcn/breadcrumb-dropdown	example	
@shadcn/breadcrumb-ellipsis	example	
@shadcn/breadcrumb-link	example	
@shadcn/breadcrumb-responsive	example	
@shadcn/breadcrumb-separator	example	
@shadcn/bubble	ui	
@shadcn/button	ui	Displays a button or a component that looks like a button.
@shadcn/button-as-child	example	
@shadcn/button-default	example	
@shadcn/button-demo	example	
@shadcn/button-destructive	example	
@shadcn/button-ghost	example	
@shadcn/button-group	ui	A container that groups related buttons together with consistent styling.
@shadcn/button-group-demo	example	
@shadcn/button-group-dropdown	example	
@shadcn/button-group-input	example	
@shadcn/button-group-input-group	example	
@shadcn/button-group-nested	example	
@shadcn/button-group-orientation	example	
@shadcn/button-group-popover	example	
@shadcn/button-group-select	example	
@shadcn/button-group-separator	example	
@shadcn/button-group-size	example	
@shadcn/button-group-split	example	
@shadcn/button-icon	example	
@shadcn/button-link	example	
@shadcn/button-loading	example	
@shadcn/button-outline	example	
@shadcn/button-rounded	example	
@shadcn/button-secondary	example	
@shadcn/button-size	example	
@shadcn/button-with-icon	example	
@shadcn/calendar	ui	A calendar component that allows users to select a date or a range of dates.
@shadcn/calendar-demo	example	
@shadcn/calendar-hijri	example	A Persian calendar.
@shadcn/card	ui	Displays a card with header, content, and footer.
@shadcn/card-demo	example	
@shadcn/card-with-form	example	
@shadcn/carousel	ui	A carousel with motion and swipe built using Embla.
@shadcn/carousel-api	example	
@shadcn/carousel-demo	example	
@shadcn/carousel-orientation	example	
@shadcn/carousel-plugin	example	
@shadcn/carousel-size	example	
@shadcn/carousel-spacing	example	
@shadcn/chart	ui	Beautiful charts. Built using Recharts. Copy and paste into your apps.
@shadcn/chart-area-axes	block	
@shadcn/chart-area-default	block	
@shadcn/chart-area-gradient	block	
@shadcn/chart-area-icons	block	
@shadcn/chart-area-interactive	block	
@shadcn/chart-area-legend	block	
@shadcn/chart-area-linear	block	
@shadcn/chart-area-stacked	block	
@shadcn/chart-area-stacked-expand	block	
@shadcn/chart-area-step	block	
@shadcn/chart-bar-active	block	
@shadcn/chart-bar-default	block	
@shadcn/chart-bar-demo	example	
@shadcn/chart-bar-demo-axis	example	
@shadcn/chart-bar-demo-grid	example	
@shadcn/chart-bar-demo-legend	example	
@shadcn/chart-bar-demo-tooltip	example	
@shadcn/chart-bar-horizontal	block	
@shadcn/chart-bar-interactive	block	
@shadcn/chart-bar-label	block	
@shadcn/chart-bar-label-custom	block	
@shadcn/chart-bar-mixed	block	
@shadcn/chart-bar-multiple	block	
@shadcn/chart-bar-negative	block	
@shadcn/chart-bar-stacked	block	
@shadcn/chart-line-default	block	
@shadcn/chart-line-dots	block	
@shadcn/chart-line-dots-colors	block	
@shadcn/chart-line-dots-custom	block	
@shadcn/chart-line-interactive	block	
@shadcn/chart-line-label	block	
@shadcn/chart-line-label-custom	block	
@shadcn/chart-line-linear	block	
@shadcn/chart-line-multiple	block	
@shadcn/chart-line-step	block	
@shadcn/chart-pie-donut	block	
@shadcn/chart-pie-donut-active	block	
@shadcn/chart-pie-donut-text	block	
@shadcn/chart-pie-interactive	block	
@shadcn/chart-pie-label	block	
@shadcn/chart-pie-label-custom	block	
@shadcn/chart-pie-label-list	block	
@shadcn/chart-pie-legend	block	
@shadcn/chart-pie-separator-none	block	
@shadcn/chart-pie-simple	block	
@shadcn/chart-pie-stacked	block	
@shadcn/chart-radar-default	block	
@shadcn/chart-radar-dots	block	
@shadcn/chart-radar-grid-circle	block	
@shadcn/chart-radar-grid-circle-fill	block	
@shadcn/chart-radar-grid-circle-no-lines	block	
@shadcn/chart-radar-grid-custom	block	
@shadcn/chart-radar-grid-fill	block	
@shadcn/chart-radar-grid-none	block	
@shadcn/chart-radar-icons	block	
@shadcn/chart-radar-label-custom	block	
@shadcn/chart-radar-legend	block	
@shadcn/chart-radar-lines-only	block	
@shadcn/chart-radar-multiple	block	
@shadcn/chart-radar-radius	block	
@shadcn/chart-radial-grid	block	
@shadcn/chart-radial-label	block	
@shadcn/chart-radial-shape	block	
@shadcn/chart-radial-simple	block	
@shadcn/chart-radial-stacked	block	
@shadcn/chart-radial-text	block	
@shadcn/chart-tooltip-advanced	block	
@shadcn/chart-tooltip-default	block	
@shadcn/chart-tooltip-demo	example	
@shadcn/chart-tooltip-formatter	block	
@shadcn/chart-tooltip-icons	block	
@shadcn/chart-tooltip-indicator-line	block	
@shadcn/chart-tooltip-indicator-none	block	
@shadcn/chart-tooltip-label-custom	block	
@shadcn/chart-tooltip-label-formatter	block	
@shadcn/chart-tooltip-label-none	block	
@shadcn/checkbox	ui	A control that allows the user to toggle between checked and not checked.
@shadcn/checkbox-demo	example	
@shadcn/checkbox-disabled	example	
@shadcn/checkbox-with-text	example	
@shadcn/collapsible	ui	An interactive component which expands/collapses a panel.
@shadcn/collapsible-demo	example	
@shadcn/combobox	ui	Autocomplete input with a list of suggestions.
@shadcn/combobox-demo	example	
@shadcn/combobox-dropdown-menu	example	
@shadcn/combobox-popover	example	
@shadcn/combobox-responsive	example	
@shadcn/command	ui	Command menu for search and quick actions.
@shadcn/command-demo	example	
@shadcn/command-dialog	example	
@shadcn/context-menu	ui	Displays a menu of actions triggered by a right click.
@shadcn/context-menu-demo	example	
@shadcn/dashboard-01	block	A dashboard with sidebar, charts and data table.
@shadcn/data-table-demo	example	
@shadcn/date-picker-demo	example	
@shadcn/date-picker-with-presets	example	
@shadcn/date-picker-with-range	example	
@shadcn/dialog	ui	A window overlaid on either the primary window or another dialog window, rendering the content underneath inert.
@shadcn/dialog-close-button	example	
@shadcn/dialog-demo	example	
@shadcn/direction	ui	A provider component that sets the text direction for your application.
@shadcn/drawer	ui	A drawer component for React.
@shadcn/drawer-demo	example	
@shadcn/drawer-dialog	example	
@shadcn/dropdown-menu	ui	Displays a menu to the user — such as a set of actions or functions — triggered by a button.
@shadcn/dropdown-menu-checkboxes	example	
@shadcn/dropdown-menu-demo	example	
@shadcn/dropdown-menu-dialog	example	
@shadcn/dropdown-menu-radio-group	example	
@shadcn/empty	ui	Use the Empty component to display an empty state.
@shadcn/empty-avatar	example	
@shadcn/empty-avatar-group	example	
@shadcn/empty-background	example	
@shadcn/empty-demo	example	
@shadcn/empty-icon	example	
@shadcn/empty-input-group	example	
@shadcn/empty-outline	example	
@shadcn/field	ui	Combine labels, controls, and help text to compose accessible form fields and grouped inputs.
@shadcn/field-checkbox	example	
@shadcn/field-choice-card	example	
@shadcn/field-demo	example	
@shadcn/field-fieldset	example	
@shadcn/field-group	example	
@shadcn/field-input	example	
@shadcn/field-radio	example	
@shadcn/field-responsive	example	
@shadcn/field-select	example	
@shadcn/field-slider	example	
@shadcn/field-switch	example	
@shadcn/field-textarea	example	
@shadcn/font-dm-sans	font	DM Sans
@shadcn/font-eb-garamond	font	EB Garamond
@shadcn/font-figtree	font	Figtree
@shadcn/font-geist	font	Geist
@shadcn/font-geist-mono	font	Geist Mono
@shadcn/font-heading-dm-sans	font	DM Sans (Heading)
@shadcn/font-heading-eb-garamond	font	EB Garamond (Heading)
@shadcn/font-heading-figtree	font	Figtree (Heading)
@shadcn/font-heading-geist	font	Geist (Heading)
@shadcn/font-heading-geist-mono	font	Geist Mono (Heading)
@shadcn/font-heading-ibm-plex-sans	font	IBM Plex Sans (Heading)
@shadcn/font-heading-instrument-sans	font	Instrument Sans (Heading)
@shadcn/font-heading-instrument-serif	font	Instrument Serif (Heading)
@shadcn/font-heading-inter	font	Inter (Heading)
@shadcn/font-heading-jetbrains-mono	font	JetBrains Mono (Heading)
@shadcn/font-heading-lora	font	Lora (Heading)
@shadcn/font-heading-manrope	font	Manrope (Heading)
@shadcn/font-heading-merriweather	font	Merriweather (Heading)
@shadcn/font-heading-montserrat	font	Montserrat (Heading)
@shadcn/font-heading-noto-sans	font	Noto Sans (Heading)
@shadcn/font-heading-noto-serif	font	Noto Serif (Heading)
@shadcn/font-heading-nunito-sans	font	Nunito Sans (Heading)
@shadcn/font-heading-outfit	font	Outfit (Heading)
@shadcn/font-heading-oxanium	font	Oxanium (Heading)
@shadcn/font-heading-playfair-display	font	Playfair Display (Heading)
@shadcn/font-heading-public-sans	font	Public Sans (Heading)
@shadcn/font-heading-raleway	font	Raleway (Heading)
@shadcn/font-heading-roboto	font	Roboto (Heading)
@shadcn/font-heading-roboto-slab	font	Roboto Slab (Heading)
@shadcn/font-heading-source-sans-3	font	Source Sans 3 (Heading)
@shadcn/font-heading-space-grotesk	font	Space Grotesk (Heading)
@shadcn/font-ibm-plex-sans	font	IBM Plex Sans
@shadcn/font-instrument-sans	font	Instrument Sans
@shadcn/font-instrument-serif	font	Instrument Serif
@shadcn/font-inter	font	Inter
@shadcn/font-jetbrains-mono	font	JetBrains Mono
@shadcn/font-lora	font	Lora
@shadcn/font-manrope	font	Manrope
@shadcn/font-merriweather	font	Merriweather
@shadcn/font-montserrat	font	Montserrat
@shadcn/font-noto-sans	font	Noto Sans
@shadcn/font-noto-serif	font	Noto Serif
@shadcn/font-nunito-sans	font	Nunito Sans
@shadcn/font-outfit	font	Outfit
@shadcn/font-oxanium	font	Oxanium
@shadcn/font-playfair-display	font	Playfair Display
@shadcn/font-public-sans	font	Public Sans
@shadcn/font-raleway	font	Raleway
@shadcn/font-roboto	font	Roboto
@shadcn/font-roboto-slab	font	Roboto Slab
@shadcn/font-source-sans-3	font	Source Sans 3
@shadcn/font-space-grotesk	font	Space Grotesk
@shadcn/form	ui	
@shadcn/form-formisch-array	example	
@shadcn/form-formisch-checkbox	example	
@shadcn/form-formisch-complex	example	
@shadcn/form-formisch-demo	example	
@shadcn/form-formisch-input	example	
@shadcn/form-formisch-radiogroup	example	
@shadcn/form-formisch-select	example	
@shadcn/form-formisch-switch	example	
@shadcn/form-formisch-textarea	example	
@shadcn/form-next-complex	example	
@shadcn/form-next-demo	example	
@shadcn/form-rhf-array	example	
@shadcn/form-rhf-checkbox	example	
@shadcn/form-rhf-complex	example	
@shadcn/form-rhf-demo	example	
@shadcn/form-rhf-input	example	
@shadcn/form-rhf-password	example	
@shadcn/form-rhf-radiogroup	example	
@shadcn/form-rhf-select	example	
@shadcn/form-rhf-switch	example	
@shadcn/form-rhf-textarea	example	
@shadcn/form-tanstack-array	example	
@shadcn/form-tanstack-checkbox	example	
@shadcn/form-tanstack-complex	example	
@shadcn/form-tanstack-demo	example	
@shadcn/form-tanstack-input	example	
@shadcn/form-tanstack-radiogroup	example	
@shadcn/form-tanstack-select	example	
@shadcn/form-tanstack-switch	example	
@shadcn/form-tanstack-textarea	example	
@shadcn/hover-card	ui	For sighted users to preview content available behind a link.
@shadcn/hover-card-demo	example	
@shadcn/index	style	
@shadcn/input	ui	A text input component for forms and user data entry with built-in styling and accessibility features.
@shadcn/input-demo	example	
@shadcn/input-disabled	example	
@shadcn/input-file	example	
@shadcn/input-group	ui	Add addons, buttons, and helper content to inputs.
@shadcn/input-group-button	example	
@shadcn/input-group-button-group	example	
@shadcn/input-group-custom	example	
@shadcn/input-group-demo	example	
@shadcn/input-group-dropdown	example	
@shadcn/input-group-icon	example	
@shadcn/input-group-label	example	
@shadcn/input-group-spinner	example	
@shadcn/input-group-text	example	
@shadcn/input-group-textarea	example	
@shadcn/input-group-tooltip	example	
@shadcn/input-otp	ui	Accessible one-time password component with copy-paste functionality.
@shadcn/input-otp-controlled	example	
@shadcn/input-otp-demo	example	
@shadcn/input-otp-pattern	example	
@shadcn/input-otp-separator	example	
@shadcn/input-with-button	example	
@shadcn/input-with-label	example	
@shadcn/input-with-text	example	
@shadcn/item	ui	A versatile component for displaying content with media, title, description, and actions.
@shadcn/item-avatar	example	
@shadcn/item-demo	example	
@shadcn/item-dropdown	example	
@shadcn/item-group	example	
@shadcn/item-header	example	
@shadcn/item-icon	example	
@shadcn/item-image	example	
@shadcn/item-link	example	
@shadcn/item-size	example	
@shadcn/item-variant	example	
@shadcn/kbd	ui	Used to display textual user input from keyboard.
@shadcn/kbd-button	example	
@shadcn/kbd-demo	example	
@shadcn/kbd-group	example	
@shadcn/kbd-input-group	example	
@shadcn/kbd-tooltip	example	
@shadcn/label	ui	Renders an accessible label associated with controls.
@shadcn/label-demo	example	
@shadcn/login-01	block	A simple login form.
@shadcn/login-02	block	A two column login page with a cover image.
@shadcn/login-03	block	A login page with a muted background color.
@shadcn/login-04	block	A login page with form and image.
@shadcn/login-05	block	A simple email-only login page.
@shadcn/marker	ui	
@shadcn/menubar	ui	A visually persistent menu common in desktop applications that provides quick access to a consistent set of commands.
@shadcn/menubar-demo	example	
@shadcn/message	ui	
@shadcn/message-scroller	ui	
@shadcn/mode-toggle	example	
@shadcn/native-select	ui	A styled native HTML select element with consistent design system integration.
@shadcn/native-select-demo	example	
@shadcn/native-select-disabled	example	
@shadcn/native-select-groups	example	
@shadcn/native-select-invalid	example	
@shadcn/navigation-menu	ui	A collection of links for navigating websites.
@shadcn/navigation-menu-demo	example	
@shadcn/pagination	ui	Pagination with page navigation, next and previous links.
@shadcn/pagination-demo	example	
@shadcn/popover	ui	Displays rich content in a portal, triggered by a button.
@shadcn/popover-demo	example	
@shadcn/progress	ui	Displays an indicator showing the completion progress of a task, typically displayed as a progress bar.
@shadcn/progress-demo	example	
@shadcn/radio-group	ui	A set of checkable buttons—known as radio buttons—where no more than one of the buttons can be checked at a time.
@shadcn/radio-group-demo	example	
@shadcn/resizable	ui	Accessible resizable panel groups and layouts with keyboard support.
@shadcn/resizable-demo	example	
@shadcn/resizable-demo-with-handle	example	
@shadcn/resizable-handle	example	
@shadcn/resizable-vertical	example	
@shadcn/scroll-area	ui	Augments native scroll functionality for custom, cross-browser styling.
@shadcn/scroll-area-demo	example	
@shadcn/scroll-area-horizontal-demo	example	
@shadcn/select	ui	Displays a list of options for the user to pick from—triggered by a button.
@shadcn/select-demo	example	
@shadcn/select-scrollable	example	
@shadcn/separator	ui	Visually or semantically separates content.
@shadcn/separator-demo	example	
@shadcn/sheet	ui	Extends the Dialog component to display content that complements the main content of the screen.
@shadcn/sheet-demo	example	
@shadcn/sheet-side	example	
@shadcn/sidebar	ui	A composable, themeable and customizable sidebar component.
@shadcn/sidebar-01	block	A simple sidebar with navigation grouped by section.
@shadcn/sidebar-02	block	A sidebar with collapsible sections.
@shadcn/sidebar-03	block	A sidebar with submenus.
@shadcn/sidebar-04	block	A floating sidebar with submenus.
@shadcn/sidebar-05	block	A sidebar with collapsible submenus.
@shadcn/sidebar-06	block	A sidebar with submenus as dropdowns.
@shadcn/sidebar-07	block	A sidebar that collapses to icons.
@shadcn/sidebar-08	block	An inset sidebar with secondary navigation.
@shadcn/sidebar-09	block	Collapsible nested sidebars.
@shadcn/sidebar-10	block	A sidebar in a popover.
@shadcn/sidebar-11	block	A sidebar with a collapsible file tree.
@shadcn/sidebar-12	block	A sidebar with a calendar.
@shadcn/sidebar-13	block	A sidebar in a dialog.
@shadcn/sidebar-14	block	A sidebar on the right.
